Gender Haircut,Hair Length,Face Shape,Hair Type,Hair Density,Recommended Haircut
0,2,0,0,0,Tousled Top with Thin Layers
1,2,1,1,0,Long Cascading Layers
0,0,0,2,1,Textured Quiff
0,0,2,1,2,Buzz Cut with Precision Fade
0,1,2,1,2,Pompadour Fade
1,0,3,2,0,Angled Bob with Soft Fringe
0,2,0,1,0,Tousled Top with Thin Layers
0,2,3,0,1,Surfer Shag
0,0,2,0,1,Textured Quiff
1,2,0,0,2,Voluminous Waves with Deep Layers
0,2,0,2,2,Grown Out Layers with Texture
0,0,3,1,0,Classic Side Part
0,0,2,0,2,Buzz Cut with Precision Fade
0,2,0,2,1,Surfer Shag
1,2,3,1,1,Full Bodied Curls with Layers
0,2,2,2,0,Tousled Top with Thin Layers
1,1,3,0,1,Mid-Length Cut with Dynamic Layers
1,1,1,0,1,Mid-Length Cut with Dynamic Layers
1,1,0,0,1,Mid-Length Cut with Dynamic Layers
0,0,1,2,1,Textured Quiff
1,1,2,2,0,Layered Lob with Face-Framing Bangs
0,0,1,0,0,Classic Side Part
1,0,1,2,2,Short Pixie with Textured Layers
1,1,2,0,1,Mid-Length Cut with Dynamic Layers
1,1,3,0,2,Blunt Bob with Thick Fringe
1,1,1,1,0,Layered Lob with Face-Framing Bangs
1,2,3,2,0,Long Cascading Layers
1,1,1,0,0,Layered Lob with Face-Framing Bangs
1,2,3,0,0,Long Cascading Layers
1,0,2,2,0,Angled Bob with Soft Fringe
0,2,1,1,0,Tousled Top with Thin Layers
0,1,2,1,0,Slicked Back Undercut
1,0,1,0,1,Chin-Length Bob with Wave
1,0,2,2,2,Short Pixie with Textured Layers
1,0,2,1,0,Angled Bob with Soft Fringe
0,2,1,2,1,Surfer Shag
1,1,1,2,1,Mid-Length Cut with Dynamic Layers
0,0,1,0,2,Buzz Cut with Precision Fade
0,0,0,1,0,Classic Side Part
0,0,3,0,2,Buzz Cut with Precision Fade
0,2,0,1,0,Tousled Top with Thin Layers
0,2,0,1,1,Surfer Shag
1,1,2,1,1,Mid-Length Cut with Dynamic Layers
1,2,1,1,1,Full Bodied Curls with Layers
1,0,3,1,1,Chin-Length Bob with Wave
1,1,2,2,2,Blunt Bob with Thick Fringe
1,0,0,0,0,Angled Bob with Soft Fringe
0,0,1,2,0,Classic Side Part
1,2,2,1,2,Voluminous Waves with Deep Layers
1,1,1,0,0,Layered Lob with Face-Framing Bangs
0,2,2,1,1,Surfer Shag
1,2,1,0,0,Long Cascading Layers
0,1,0,2,1,Bro Flow
1,0,3,0,2,Short Pixie with Textured Layers
0,0,0,0,0,Classic Side Part
1,1,3,0,2,Blunt Bob with Thick Fringe
1,0,1,0,0,Angled Bob with Soft Fringe
0,1,2,0,1,Bro Flow
0,1,0,1,2,Pompadour Fade
0,2,3,0,0,Tousled Top with Thin Layers
0,1,0,0,1,Bro Flow
0,2,3,2,2,Grown Out Layers with Texture
0,0,0,0,2,Buzz Cut with Precision Fade
0,0,3,2,0,Classic Side Part
0,0,3,1,0,Classic Side Part
1,0,1,0,0,Angled Bob with Soft Fringe
1,2,3,2,1,Full Bodied Curls with Layers
0,0,1,2,0,Classic Side Part
1,1,3,1,2,Blunt Bob with Thick Fringe
1,1,2,0,2,Blunt Bob with Thick Fringe
1,1,2,0,0,Layered Lob with Face-Framing Bangs
1,2,2,2,0,Long Cascading Layers
0,0,3,0,2,Buzz Cut with Precision Fade
1,0,1,2,1,Chin-Length Bob with Wave
0,0,1,0,0,Classic Side Part
1,2,3,2,0,Long Cascading Layers
1,1,2,0,2,Blunt Bob with Thick Fringe
1,1,2,1,0,Layered Lob with Face-Framing Bangs
0,0,1,0,1,Textured Quiff
1,1,2,0,2,Blunt Bob with Thick Fringe
0,1,0,1,0,Slicked Back Undercut
1,2,1,0,2,Voluminous Waves with Deep Layers
0,2,2,1,0,Tousled Top with Thin Layers
1,2,1,0,0,Long Cascading Layers
0,2,0,2,0,Tousled Top with Thin Layers
0,0,1,2,1,Textured Quiff
1,2,1,0,1,Full Bodied Curls with Layers
0,1,1,0,2,Pompadour Fade
1,0,1,0,0,Angled Bob with Soft Fringe
1,1,0,2,0,Layered Lob with Face-Framing Bangs
1,1,3,0,1,Mid-Length Cut with Dynamic Layers
1,1,1,2,0,Layered Lob with Face-Framing Bangs
1,2,1,1,1,Full Bodied Curls with Layers
1,2,2,2,0,Long Cascading Layers
1,0,1,2,2,Short Pixie with Textured Layers
1,0,2,1,0,Angled Bob with Soft Fringe
1,2,3,2,0,Long Cascading Layers
1,1,0,0,1,Mid-Length Cut with Dynamic Layers
1,0,0,0,0,Angled Bob with Soft Fringe
0,2,3,2,0,Tousled Top with Thin Layers
0,2,0,0,1,Surfer Shag
1,2,3,2,2,Voluminous Waves with Deep Layers
1,1,3,0,2,Blunt Bob with Thick Fringe
1,2,3,0,1,Full Bodied Curls with Layers
1,2,0,2,1,Full Bodied Curls with Layers
1,2,2,0,1,Full Bodied Curls with Layers
1,2,3,2,1,Full Bodied Curls with Layers
1,0,1,0,1,Chin-Length Bob with Wave
1,0,0,0,2,Short Pixie with Textured Layers
0,2,3,1,2,Grown Out Layers with Texture
1,1,3,1,1,Mid-Length Cut with Dynamic Layers
0,0,1,2,0,Classic Side Part
1,2,2,1,1,Full Bodied Curls with Layers
1,0,2,2,0,Angled Bob with Soft Fringe
0,0,2,1,1,Textured Quiff
1,1,3,0,1,Mid-Length Cut with Dynamic Layers
0,2,3,2,2,Grown Out Layers with Texture
1,2,3,2,0,Long Cascading Layers
1,1,0,0,0,Layered Lob with Face-Framing Bangs
0,1,1,2,2,Pompadour Fade
1,2,3,2,2,Voluminous Waves with Deep Layers
0,2,1,1,2,Grown Out Layers with Texture
1,1,1,2,2,Blunt Bob with Thick Fringe
0,0,2,0,0,Classic Side Part
0,0,0,1,0,Classic Side Part
1,1,3,1,1,Mid-Length Cut with Dynamic Layers
1,0,2,0,1,Chin-Length Bob with Wave
0,1,2,0,2,Pompadour Fade
1,0,3,1,2,Short Pixie with Textured Layers
1,0,1,2,2,Short Pixie with Textured Layers
1,2,2,1,1,Full Bodied Curls with Layers
0,2,1,0,1,Surfer Shag
0,0,0,1,1,Textured Quiff
0,0,1,0,1,Textured Quiff
0,2,0,1,1,Surfer Shag
0,2,1,2,1,Surfer Shag
0,2,2,1,1,Surfer Shag
0,1,2,1,2,Pompadour Fade
0,0,0,0,2,Buzz Cut with Precision Fade
0,2,3,0,2,Grown Out Layers with Texture
1,0,0,0,2,Short Pixie with Textured Layers
0,1,0,1,1,Bro Flow
1,1,1,2,0,Layered Lob with Face-Framing Bangs
1,2,1,0,1,Full Bodied Curls with Layers
1,1,0,0,0,Layered Lob with Face-Framing Bangs
0,0,2,1,2,Buzz Cut with Precision Fade
0,2,1,0,1,Surfer Shag
0,0,3,2,2,Buzz Cut with Precision Fade
0,0,1,2,1,Textured Quiff
1,1,1,0,2,Blunt Bob with Thick Fringe
0,1,3,0,0,Slicked Back Undercut
0,1,0,1,0,Slicked Back Undercut
0,1,3,2,0,Slicked Back Undercut
0,1,0,2,1,Bro Flow
0,2,0,0,0,Tousled Top with Thin Layers
1,0,0,1,1,Chin-Length Bob with Wave
0,0,3,2,0,Classic Side Part
1,0,0,2,0,Angled Bob with Soft Fringe
0,0,2,1,1,Textured Quiff
1,1,3,1,1,Mid-Length Cut with Dynamic Layers
0,0,2,2,0,Classic Side Part
0,2,0,2,1,Surfer Shag
1,2,1,1,0,Long Cascading Layers
1,0,0,2,1,Chin-Length Bob with Wave
1,0,2,0,2,Short Pixie with Textured Layers
0,2,2,0,2,Grown Out Layers with Texture
1,2,3,1,2,Voluminous Waves with Deep Layers
